amortization_years,ltv_from,ltv_to,down_payment_kind,premium_rate,value_basis,source_url,retrieved_on
25,0.0000,0.6500,traditional,0.0060,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/premium-information-for-homeowner-and-small-rental-loans,2026-08-26
25,0.6501,0.7500,traditional,0.0170,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/premium-information-for-homeowner-and-small-rental-loans,2026-08-26
25,0.7501,0.8000,traditional,0.0240,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/premium-information-for-homeowner-and-small-rental-loans,2026-08-26
25,0.8001,0.8500,traditional,0.0280,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/premium-information-for-homeowner-and-small-rental-loans,2026-08-26
25,0.8501,0.9000,traditional,0.0310,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/premium-information-for-homeowner-and-small-rental-loans,2026-08-26
25,0.9001,0.9500,traditional,0.0400,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/premium-information-for-homeowner-and-small-rental-loans,2026-08-26
25,0.9001,0.9500,non_traditional,0.0450,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/premium-information-for-homeowner-and-small-rental-loans,2026-08-26
30,0.8001,0.8500,traditional,0.0300,published_range_endpoint,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start,2026-08-26
30,0.8501,0.9000,traditional,0.0330,derived_from_endpoint_surcharge,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start,2026-08-26
30,0.9001,0.9500,traditional,0.0420,derived_from_endpoint_surcharge,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start,2026-08-26
30,0.9001,0.9500,non_traditional,0.0470,published_range_endpoint,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start,2026-08-26
