parameter_name,parameter_value,unit,applies_to,value_basis,source_url,retrieved_on,published_wording
gds_max_ratio,39,percent,insured homeowner loan,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/purchase,2026-08-26,Gross Debt Service (GDS) Ratio: 39%
tds_max_ratio,44,percent,insured homeowner loan,published,https://www.cmhc-schl.gc.ca/professionals/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/purchase,2026-08-26,Total Debt Service (TDS) Ratio: 44%
qualifying_rate_buffer,2,percentage_points,insured homeowner loan,published,https://assets.cmhc-schl.gc.ca/sites/cmhc/professional/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start/home-start-fact-sheet-en.pdf,2026-08-26,"The GDS and TDS ratios must be calculated using an interest rate which is the greater of the contract interest rate plus 2 per cent, or 5.25 per cent."
qualifying_rate_floor,5.25,percent,insured homeowner loan,published,https://assets.cmhc-schl.gc.ca/sites/cmhc/professional/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start/home-start-fact-sheet-en.pdf,2026-08-26,"The GDS and TDS ratios must be calculated using an interest rate which is the greater of the contract interest rate plus 2 per cent, or 5.25 per cent."
qualifying_rate_buffer_uninsured,2,percentage_points,uninsured mortgage at a federally regulated lender,published,https://www.osfi-bsif.gc.ca/en/supervision/financial-institutions/banks/minimum-qualifying-rate-uninsured-mortgages,2026-08-26,The greater of the mortgage contract rate plus 2% or 5.25%. Buffer currently set at 2%.
qualifying_rate_floor_uninsured,5.25,percent,uninsured mortgage at a federally regulated lender,published,https://www.osfi-bsif.gc.ca/en/supervision/financial-institutions/banks/minimum-qualifying-rate-uninsured-mortgages,2026-08-26,The greater of the mortgage contract rate plus 2% or 5.25%. Floor currently set at 5.25%.
max_amortization_years_standard,25,years,insured homeowner loan,published,https://assets.cmhc-schl.gc.ca/sites/cmhc/professional/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start/home-start-fact-sheet-en.pdf,2026-08-26,The maximum amortization period is 25 years; or 30 years if the LTV is greater than 80% and the borrower is either: (i) a first-time homebuyer or (ii) purchasing a newly built home.
max_amortization_years_first_time_buyer,30,years,insured homeowner loan above 80 percent LTV,published,https://assets.cmhc-schl.gc.ca/sites/cmhc/professional/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start/home-start-fact-sheet-en.pdf,2026-08-26,The maximum amortization period is 25 years; or 30 years if the LTV is greater than 80% and the borrower is either: (i) a first-time homebuyer or (ii) purchasing a newly built home.
max_insurable_price_ltv_over_80,1500000,cad,insured homeowner loan above 80 percent LTV,published,https://assets.cmhc-schl.gc.ca/sites/cmhc/professional/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start/home-start-fact-sheet-en.pdf,2026-08-26,"The maximum purchase price/ lending value or as-improved property value must be less than: $1,000,000 if LTV <= 80%; or $1,500,000 if LTV > 80%"
max_insurable_price_ltv_up_to_80,1000000,cad,insured homeowner loan up to 80 percent LTV,published,https://assets.cmhc-schl.gc.ca/sites/cmhc/professional/project-funding-and-mortgage-financing/mortgage-loan-insurance/mortgage-loan-insurance-homeownership-programs/home-start/home-start-fact-sheet-en.pdf,2026-08-26,"The maximum purchase price/ lending value or as-improved property value must be less than: $1,000,000 if LTV <= 80%; or $1,500,000 if LTV > 80%"
premium_is_taxed_in_quebec,1,boolean,insurance premium payable in Quebec,published,https://www.cmhc-schl.gc.ca/consumers/home-buying/mortgage-loan-insurance-for-consumers/cmhc-mortgage-loan-insurance-cost,2026-08-26,"Premiums in Quebec, Ontario and Saskatchewan are subject to provincial sales tax. The provincial sales tax cannot be added to the loan amount."
interest_compounding_periods_per_year,2,per_year,Canadian fixed-rate mortgage quoted rate,market_convention,https://laws-lois.justice.gc.ca/eng/acts/i-15/FullText.html,2026-08-26,"Interest Act section 6 requires the mortgage to state the rate calculated yearly or half-yearly, not in advance. The Act permits both; half-yearly is the quoting convention for Canadian fixed-rate mortgages. This row is therefore a stated ASSUMPTION about market practice, not a published requirement."
