ct_uid,admin_name,admin_geography_type,places_touched,name_is_a_majority_call,population_in_place,tract_population,population_named_elsewhere,assignment_basis
4620001.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,2684,2684,0,population
4620002.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,3780,3780,0,population
4620003.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,6600,6600,0,population
4620004.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,3355,3355,0,population
4620005.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,3175,3175,0,population
4620006.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,4611,4611,0,population
4620007.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,5655,5655,0,population
4620008.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,3104,3104,0,population
4620009.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,3554,3554,0,population
4620010.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,1494,1494,0,population
4620011.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,6439,6439,0,population
4620012.01,Mercier-Hochelaga-Maisonneuve,borough,1,False,2547,2547,0,population
4620012.02,Mercier-Hochelaga-Maisonneuve,borough,1,False,4163,4163,0,population
4620013.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,5694,5694,0,population
4620014.02,Mercier-Hochelaga-Maisonneuve,borough,1,False,0,0,0,dissemination_area_count
4620014.03,Mercier-Hochelaga-Maisonneuve,borough,1,False,3363,3363,0,population
4620014.04,Mercier-Hochelaga-Maisonneuve,borough,1,False,4187,4187,0,population
4620015.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,4089,4089,0,population
4620016.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,2470,2470,0,population
4620017.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,2131,2131,0,population
4620018.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,2013,2013,0,population
4620019.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,2398,2398,0,population
4620021.00,Mercier-Hochelaga-Maisonneuve,borough,1,False,3028,3028,0,population
