ct_uid,ct_name,municipality_code,municipality_name,apciq_sector_number,population_weight,population_in_sector,tract_population,weight_basis,assignment_method,neighbourhood_names,tract_is_shared,includes_corrected_point
4620430.00,0430.00,66087,Dorval,1,1.000000,7238,7238,population,borough_code,,False,False
4620431.00,0431.00,66087,Dorval,1,1.000000,5443,5443,population,borough_code,,False,False
4620432.00,0432.00,66087,Dorval,1,1.000000,3134,3134,population,borough_code,,False,False
4620433.00,0433.00,66087,Dorval,1,1.000000,3487,3487,population,borough_code,,False,False
4620440.00,0440.00,66092,L'Île-Dorval,1,1.000000,30,30,population,borough_code,,False,False
4620450.00,0450.00,66097,Pointe-Claire,1,1.000000,7140,7140,population,borough_code,,False,False
4620451.00,0451.00,66097,Pointe-Claire,1,1.000000,6986,6986,population,borough_code,,False,False
4620452.00,0452.00,66097,Pointe-Claire,1,1.000000,8886,8886,population,borough_code,,False,False
4620453.01,0453.01,66097,Pointe-Claire,1,1.000000,5543,5543,population,borough_code,,False,False
4620453.02,0453.02,66097,Pointe-Claire,1,1.000000,4933,4933,population,borough_code,,False,False
4620460.00,0460.00,66107,Beaconsfield,1,1.000000,5367,5367,population,borough_code,,False,False
4620461.00,0461.00,66107,Beaconsfield,1,1.000000,2926,2926,population,borough_code,,False,False
4620462.01,0462.01,66107,Beaconsfield,1,1.000000,5148,5148,population,borough_code,,False,False
4620462.02,0462.02,66107,Beaconsfield,1,1.000000,5836,5836,population,borough_code,,False,False
4620480.00,0480.00,66112,Baie-D'Urfé,1,1.000000,3764,3764,population,borough_code,,False,False
4620490.00,0490.00,66117,Sainte-Anne-de-Bellevue,1,1.000000,2532,2532,population,borough_code,,False,False
4620491.00,0491.00,66117,Sainte-Anne-de-Bellevue,1,1.000000,2495,2495,population,borough_code,,False,False
4620500.00,0500.00,66127,Senneville,1,1.000000,951,951,population,borough_code,,False,False
4620470.01,0470.01,66102,Kirkland,2,1.000000,7022,7022,population,borough_code,,False,False
4620470.03,0470.03,66102,Kirkland,2,1.000000,4907,4907,population,borough_code,,False,False
4620470.04,0470.04,66102,Kirkland,2,1.000000,3487,3487,population,borough_code,,False,False
4620470.05,0470.05,66102,Kirkland,2,1.000000,3997,3997,population,borough_code,,False,False
4620511.01,0511.01,66023,Montréal,2,1.000000,3325,3325,population,borough_code,,False,False
4620511.02,0511.02,66023,Montréal,2,0.928604,6191,6667,population,borough_code,,True,False
4620512.02,0512.02,66023,Montréal,2,1.000000,4568,4568,population,borough_code,,False,False
4620512.03,0512.03,66023,Montréal,2,1.000000,2552,2552,population,borough_code,,False,False
4620512.04,0512.04,66023,Montréal,2,1.000000,6579,6579,population,borough_code,,False,False
4620513.01,0513.01,66023,Montréal,2,1.000000,5002,5002,population,borough_code,,False,False
4620513.02,0513.02,66023,Montréal,2,1.000000,4581,4581,population,borough_code,,False,False
4620514.01,0514.01,66023,Montréal,2,1.000000,6896,6896,population,borough_code,,False,False
4620514.02,0514.02,66023,Montréal,2,1.000000,6132,6132,population,borough_code,,False,False
4620515.01,0515.01,66023,Montréal,2,1.000000,6413,6413,population,borough_code,,False,False
4620515.02,0515.02,66023,Montréal,2,1.000000,4376,4376,population,borough_code,,False,False
4620515.03,0515.03,66023,Montréal,2,1.000000,3453,3453,population,borough_code,,False,False
4620515.04,0515.04,66023,Montréal,2,1.000000,3708,3708,population,borough_code,,False,False
4620520.02,0520.02,66142,Dollard-Des Ormeaux,2,1.000000,7112,7112,population,borough_code,,False,False
4620520.03,0520.03,66142,Dollard-Des Ormeaux,2,1.000000,3764,3764,population,borough_code,,False,False
4620520.04,0520.04,66142,Dollard-Des Ormeaux,2,1.000000,4638,4638,population,borough_code,,False,False
4620521.01,0521.01,66142,Dollard-Des Ormeaux,2,1.000000,4857,4857,population,borough_code,,False,False
4620521.04,0521.04,66142,Dollard-Des Ormeaux,2,1.000000,4768,4768,population,borough_code,,False,False
4620521.05,0521.05,66142,Dollard-Des Ormeaux,2,1.000000,4587,4587,population,borough_code,,False,False
4620521.06,0521.06,66142,Dollard-Des Ormeaux,2,1.000000,5147,5147,population,borough_code,,False,False
4620521.07,0521.07,66142,Dollard-Des Ormeaux,2,1.000000,4070,4070,population,borough_code,,False,False
4620522.01,0522.01,66142,Dollard-Des Ormeaux,2,1.000000,3464,3464,population,borough_code,,False,False
4620522.02,0522.02,66142,Dollard-Des Ormeaux,2,1.000000,3506,3506,population,borough_code,,False,False
4620523.00,0523.00,66142,Dollard-Des Ormeaux,2,1.000000,2490,2490,population,borough_code,,False,False
4620530.00,0530.00,66023,Montréal,2,1.000000,6130,6130,population,borough_code,,False,False
4620540.00,0540.00,66023,Montréal,2,1.000000,3969,3969,population,borough_code,,False,False
4620550.02,0550.02,66023,Montréal,2,1.000000,3327,3327,population,borough_code,,False,False
4620550.03,0550.03,66023,Montréal,2,1.000000,6780,6780,population,borough_code,,False,False
4620550.04,0550.04,66023,Montréal,2,1.000000,4809,4809,population,borough_code,,False,False
4620320.00,0320.00,66023,Montréal,3,1.000000,4814,4814,population,borough_code,,False,False
4620321.00,0321.00,66023,Montréal,3,1.000000,2918,2918,population,borough_code,,False,False
4620322.02,0322.02,66023,Montréal,3,1.000000,3840,3840,population,borough_code,,False,False
4620322.03,0322.03,66023,Montréal,3,1.000000,4936,4936,population,borough_code,,False,False
4620322.04,0322.04,66023,Montréal,3,1.000000,3357,3357,population,borough_code,,False,False
4620323.00,0323.00,66023,Montréal,3,1.000000,3118,3118,population,borough_code,,False,False
4620324.01,0324.01,66023,Montréal,3,1.000000,4734,4734,population,borough_code,,False,False
4620324.02,0324.02,66023,Montréal,3,1.000000,2894,2894,population,borough_code,,False,False
4620325.01,0325.01,66023,Montréal,3,1.000000,3818,3818,population,borough_code,,False,False
4620325.02,0325.02,66023,Montréal,3,1.000000,6728,6728,population,borough_code,,False,False
4620325.03,0325.03,66023,Montréal,3,1.000000,3758,3758,population,borough_code,,False,False
4620325.05,0325.05,66023,Montréal,3,1.000000,9824,9824,population,borough_code,,False,False
4620325.06,0325.06,66023,Montréal,3,1.000000,4838,4838,population,borough_code,,False,False
4620326.01,0326.01,66023,Montréal,3,1.000000,2894,2894,population,borough_code,,False,False
4620326.02,0326.02,66023,Montréal,3,1.000000,3778,3778,population,borough_code,,False,False
4620326.03,0326.03,66023,Montréal,3,1.000000,5000,5000,population,borough_code,,False,False
4620327.00,0327.00,66023,Montréal,3,1.000000,4891,4891,population,borough_code,,False,False
4620328.00,0328.00,66023,Montréal,3,1.000000,1874,1874,population,borough_code,,False,False
4620329.00,0329.00,66023,Montréal,3,1.000000,4221,4221,population,borough_code,,False,False
4620330.00,0330.00,66023,Montréal,3,1.000000,5484,5484,population,borough_code,,False,False
4620390.00,0390.00,66023,Montréal,3,1.000000,1603,1603,population,borough_code,,False,False
