municipality_code,municipality_name,matricule,borough_code,use_code,neighbourhood_unit,frontage_m,lot_area_m2,storeys,year_built,year_built_flag,floor_area_m2,physical_link,construction_type,dwelling_count,market_ref_date,land_value,building_value,total_value,prev_total_value
66112,Baie-D'Urfé,70299542244,,1000,0523,44.20,1952.60,2,1945,R,151.6,1,5,1,2024-07-01,1757300,82400,1839700,1687800
66112,Baie-D'Urfé,70299575202,,1000,0523,15.24,1025.30,2,1911,R,303.2,1,4,1,2024-07-01,1291900,1043400,2335300,2142500
66112,Baie-D'Urfé,71290515148,,1000,0523,,3973.90,2,1905,R,377.5,1,5,1,2024-07-01,2324700,646000,2970700,2725400
66112,Baie-D'Urfé,71290557058,,1000,0523,38.20,3713.40,2,2013,R,481.3,1,5,1,2024-07-01,1838100,1405300,3243400,2975600
66112,Baie-D'Urfé,71291512086,,1000,0523,33.71,4281.70,2,1904,R,593.8,1,4,1,2024-07-01,2813100,1239100,4052200,3717600
66112,Baie-D'Urfé,71290585075,,1000,0523,32.37,3716.80,2,1977,R,568.7,1,5,1,2024-07-01,2943700,1974200,4917900,4511800
66112,Baie-D'Urfé,70298586895,,1000,0520,44.95,2819.80,2,1945,R,558.4,1,5,1,2024-07-01,958700,1444400,2403100,2145600
66112,Baie-D'Urfé,71291657279,,1000,0520,30.48,1834.80,1,1944,R,219.2,1,4,1,2024-07-01,689900,261500,951400,849500
66112,Baie-D'Urfé,70299536857,,1000,0520,54.99,2813.90,2,1946,R,453.4,1,5,1,2024-07-01,1013000,1146700,2159700,1928300
66112,Baie-D'Urfé,71291614148,,1000,0520,51.25,2076.50,1,1951,R,133.7,1,1,1,2024-07-01,739200,239900,979100,874200
66112,Baie-D'Urfé,71290674044,,1000,0520,25.17,966.00,2,1948,R,257.7,1,5,1,2024-07-01,471400,613000,1084400,968200
66112,Baie-D'Urfé,71290531863,,1000,0520,23.28,893.00,1,1941,R,142.8,1,4,1,2024-07-01,446500,267700,714200,637700
66112,Baie-D'Urfé,71290666388,,1000,0518,42.85,1162.80,1,1953,R,151.3,1,1,1,2024-07-01,479700,267800,747500,725700
66112,Baie-D'Urfé,71291603513,,1000,0518,50.29,1916.10,1,1954,R,398.4,1,4,1,2024-07-01,682600,744700,1427300,1385700
66112,Baie-D'Urfé,71291646637,,1000,0518,30.48,1654.10,2,2023,R,425.8,1,5,1,2024-07-01,620300,1990800,2611100,2535000
66112,Baie-D'Urfé,71291789353,,1000,0518,30.48,1443.50,2,1955,R,328.9,1,2,1,2024-07-01,541300,557500,1098800,1066800
66112,Baie-D'Urfé,71291793652,,1000,0518,30.48,1392.80,2,1955,R,224.5,1,5,1,2024-07-01,522300,313200,835500,811200
66112,Baie-D'Urfé,71291796952,,1000,0518,30.78,1401.50,1,1954,R,182.2,1,1,1,2024-07-01,525600,293700,819300,795400
66112,Baie-D'Urfé,71292800282,,1000,0518,35.66,1692.80,1,1955,R,134.3,1,1,1,2024-07-01,596700,70500,667200,647800
66112,Baie-D'Urfé,71292807923,,1000,0518,45.72,1826.80,2,1914,R,258.9,1,4,1,2024-07-01,650800,773100,1423900,1382400
66112,Baie-D'Urfé,71292911279,,1000,0518,30.48,1366.80,1,1957,R,158.8,1,1,1,2024-07-01,512600,326500,839100,814700
66112,Baie-D'Urfé,71292915585,,1000,0518,30.48,1362.10,2,2010,R,380.1,1,5,1,2024-07-01,510800,1365800,1876600,1821900
66112,Baie-D'Urfé,71291948587,,1000,0518,45.72,2090.30,2,2006,R,368.8,1,5,1,2024-07-01,705500,1333900,2039400,1980000
66112,Baie-D'Urfé,71291945203,,1000,0518,30.48,1393.50,1,1954,R,158.1,1,4,1,2024-07-01,522600,159600,682200,662300
66112,Baie-D'Urfé,71291841907,,1000,0518,30.48,1393.50,1,1954,R,111.6,1,4,1,2024-07-01,522600,156700,679300,659500
66112,Baie-D'Urfé,71291838598,,1000,0518,30.48,1393.50,2,1956,R,242.4,1,2,1,2024-07-01,522600,520500,1043100,1012700
66112,Baie-D'Urfé,71291834290,,1000,0518,30.48,1393.50,1,1956,R,128.9,1,1,1,2024-07-01,522600,185900,708500,687900
66112,Baie-D'Urfé,71291730993,,1000,0518,30.48,1393.50,2,1958,R,154.4,1,5,1,2024-07-01,522600,281200,803800,780400
66112,Baie-D'Urfé,71291727684,,1000,0518,30.48,1393.50,1,1955,R,263.5,1,4,1,2024-07-01,522600,647100,1169700,1135600
66112,Baie-D'Urfé,71291713189,,1000,0518,77.10,2164.40,1,1953,R,269.2,1,4,1,2024-07-01,689900,185100,875000,849500
66112,Baie-D'Urfé,71290767046,,1000,0518,52.38,1685.80,2,1954,R,440.7,1,2,1,2024-07-01,632200,799800,1432000,1390300
66112,Baie-D'Urfé,71290792457,,1000,0518,30.48,2090.30,2,1950,R,197.3,1,5,1,2024-07-01,705500,225600,931100,904000
66112,Baie-D'Urfé,71290781732,,1000,0518,30.48,1393.50,2,1951,R,288.6,1,5,1,2024-07-01,522600,700200,1222800,1187200
66112,Baie-D'Urfé,71290885038,,1000,0518,30.48,1393.50,2,1922,R,265.0,1,5,1,2024-07-01,522600,280500,803100,779700
66112,Baie-D'Urfé,71290893792,,1000,0518,30.48,1393.50,2,1950,R,168.0,1,5,1,2024-07-01,522600,238400,761000,738800
66112,Baie-D'Urfé,71290997130,,1000,0518,38.10,1741.90,1,1913,R,169.7,1,4,1,2024-07-01,587900,122700,710600,689900
66112,Baie-D'Urfé,71291903590,,1000,0518,,2438.80,1,1947,R,178.6,1,4,1,2024-07-01,777400,184400,961800,933800
66112,Baie-D'Urfé,71300049690,,1000,0518,30.48,1393.50,2,1946,R,198.1,1,5,1,2024-07-01,522600,491100,1013700,984200
66112,Baie-D'Urfé,71300045383,,1000,0518,30.48,1393.50,1,1951,R,112.7,1,4,1,2024-07-01,522600,72700,595300,578000
66112,Baie-D'Urfé,71300042083,,1000,0518,30.48,1393.50,2,1948,R,219.2,1,5,1,2024-07-01,522600,267900,790500,767500
66112,Baie-D'Urfé,71290931170,,1000,0518,30.48,1393.50,2,1954,R,224.4,1,5,1,2024-07-01,522600,272100,794700,771600
66112,Baie-D'Urfé,71290828871,,1000,0518,30.48,1393.50,1,1951,R,161.9,1,4,1,2024-07-01,522600,297700,820300,796400
66112,Baie-D'Urfé,71290825562,,1000,0518,30.48,1393.50,2,1951,R,203.5,1,5,1,2024-07-01,522600,265700,788300,765300
66112,Baie-D'Urfé,71290821264,,1000,0518,30.48,1393.50,1,1954,R,354.0,1,5,1,2024-07-01,522600,1697100,2219700,2155000
66112,Baie-D'Urfé,71290716811,,1000,0518,30.48,1393.50,1,1948,R,170.5,1,4,1,2024-07-01,522600,300900,823500,799500
