ref_month,index_value,index_status,index_base,quarter_year,quarter,months_observed,quarter_index_factor,index_basis
2014-01-01,121.5,final,2002=100,2014,1,3,0.913545,cpi_rmr462
2014-02-01,122.3,final,2002=100,2014,1,3,0.913545,cpi_rmr462
2014-03-01,122.6,final,2002=100,2014,1,3,0.913545,cpi_rmr462
2014-04-01,123.2,final,2002=100,2014,2,3,0.923269,cpi_rmr462
2014-05-01,123.5,final,2002=100,2014,2,3,0.923269,cpi_rmr462
2014-06-01,123.6,final,2002=100,2014,2,3,0.923269,cpi_rmr462
2014-07-01,123.5,final,2002=100,2014,3,3,0.925014,cpi_rmr462
2014-08-01,123.7,final,2002=100,2014,3,3,0.925014,cpi_rmr462
2014-09-01,123.8,final,2002=100,2014,3,3,0.925014,cpi_rmr462
2014-10-01,124.1,final,2002=100,2014,4,3,0.924515,cpi_rmr462
2014-11-01,123.8,final,2002=100,2014,4,3,0.924515,cpi_rmr462
2014-12-01,122.9,final,2002=100,2014,4,3,0.924515,cpi_rmr462
2015-01-01,122.9,final,2002=100,2015,1,3,0.927009,cpi_rmr462
2015-02-01,124.1,final,2002=100,2015,1,3,0.927009,cpi_rmr462
2015-03-01,124.8,final,2002=100,2015,1,3,0.927009,cpi_rmr462
2015-04-01,124.9,final,2002=100,2015,2,3,0.936483,cpi_rmr462
2015-05-01,125.4,final,2002=100,2015,2,3,0.936483,cpi_rmr462
2015-06-01,125.3,final,2002=100,2015,2,3,0.936483,cpi_rmr462
2015-07-01,125.3,final,2002=100,2015,3,3,0.937231,cpi_rmr462
2015-08-01,125.3,final,2002=100,2015,3,3,0.937231,cpi_rmr462
2015-09-01,125.3,final,2002=100,2015,3,3,0.937231,cpi_rmr462
2015-10-01,125.6,final,2002=100,2015,4,3,0.935985,cpi_rmr462
2015-11-01,125.1,final,2002=100,2015,4,3,0.935985,cpi_rmr462
2015-12-01,124.7,final,2002=100,2015,4,3,0.935985,cpi_rmr462
2016-01-01,124.8,final,2002=100,2016,1,3,0.937481,cpi_rmr462
2016-02-01,125.4,final,2002=100,2016,1,3,0.937481,cpi_rmr462
2016-03-01,125.8,final,2002=100,2016,1,3,0.937481,cpi_rmr462
2016-04-01,126.2,final,2002=100,2016,2,3,0.944960,cpi_rmr462
2016-05-01,126.6,final,2002=100,2016,2,3,0.944960,cpi_rmr462
2016-06-01,126.2,final,2002=100,2016,2,3,0.944960,cpi_rmr462
2016-07-01,125.9,final,2002=100,2016,3,3,0.942716,cpi_rmr462
2016-08-01,125.8,final,2002=100,2016,3,3,0.942716,cpi_rmr462
2016-09-01,126.4,final,2002=100,2016,3,3,0.942716,cpi_rmr462
2016-10-01,126.3,final,2002=100,2016,4,3,0.941719,cpi_rmr462
2016-11-01,125.9,final,2002=100,2016,4,3,0.941719,cpi_rmr462
2016-12-01,125.5,final,2002=100,2016,4,3,0.941719,cpi_rmr462
2017-01-01,126.2,final,2002=100,2017,1,3,0.947204,cpi_rmr462
2017-02-01,126.7,final,2002=100,2017,1,3,0.947204,cpi_rmr462
2017-03-01,127.0,final,2002=100,2017,1,3,0.947204,cpi_rmr462
2017-04-01,127.4,final,2002=100,2017,2,3,0.952939,cpi_rmr462
