ref_date,geo,dguid,median_hh_total_income_2020,median_hh_total_income_2015,median_hh_aftertax_income_2020,median_hh_aftertax_income_2015,households_2021
2021,"Montréal (CMA) 462, Que.",2021S0503462,76000,67000,65500,58000,1835700
2021,0001.00 - Montréal,2021S05074620001.00,63600,57600,54800,50400,1405
2021,0002.00 - Montréal,2021S05074620002.00,57600,52400,50800,46400,1945
2021,0003.00 - Montréal,2021S05074620003.00,62000,54800,54800,48400,3015
2021,0004.00 - Montréal,2021S05074620004.00,60000,53200,52400,46800,1645
2021,0005.00 - Montréal,2021S05074620005.00,58800,51200,51200,45600,1640
2021,0006.00 - Montréal,2021S05074620006.00,60000,50000,53600,45200,2045
2021,0007.00 - Montréal,2021S05074620007.00,62400,57200,54800,50400,2865
2021,0008.00 - Montréal,2021S05074620008.00,68500,64000,57600,54800,1530
2021,0009.00 - Montréal,2021S05074620009.00,64000,56000,56400,49200,1705
2021,0010.00 - Montréal,2021S05074620010.00,62400,55200,54400,48400,740
2021,0011.00 - Montréal,2021S05074620011.00,68000,60400,58400,52400,2830
2021,0012.01 - Montréal,2021S05074620012.01,48400,44000,43600,39600,1285
2021,0012.02 - Montréal,2021S05074620012.02,47600,43600,43600,39600,2070
2021,0013.00 - Montréal,2021S05074620013.00,64000,56000,54400,48400,3015
2021,0014.02 - Montréal,2021S05074620014.02,,0,,0,
2021,0014.03 - Montréal,2021S05074620014.03,56800,45600,49200,41600,1775
2021,0014.04 - Montréal,2021S05074620014.04,68000,56000,57200,48800,2415
2021,0015.00 - Montréal,2021S05074620015.00,60000,50400,52000,44400,2235
2021,0016.00 - Montréal,2021S05074620016.00,59200,44800,52000,40800,1215
2021,0017.00 - Montréal,2021S05074620017.00,58800,50000,51200,44800,1185
2021,0018.00 - Montréal,2021S05074620018.00,53200,44800,47200,40400,1145
2021,0019.00 - Montréal,2021S05074620019.00,52800,42000,47600,38000,1340
2021,0021.00 - Montréal,2021S05074620021.00,53600,42000,48000,38400,1575
2021,0022.00 - Montréal,2021S05074620022.00,59600,48800,50800,43200,850
2021,0023.00 - Montréal,2021S05074620023.00,54800,42000,49600,39200,675
2021,0024.00 - Montréal,2021S05074620024.00,58000,44000,50400,39600,1395
2021,0025.00 - Montréal,2021S05074620025.00,60800,49200,52800,44400,1530
2021,0026.00 - Montréal,2021S05074620026.00,57200,48400,50400,42800,1510
2021,0027.00 - Montréal,2021S05074620027.00,56000,43200,49200,39200,920
2021,0028.00 - Montréal,2021S05074620028.00,60000,46000,52000,40800,1160
2021,0029.00 - Montréal,2021S05074620029.00,57600,44800,50400,39600,2115
2021,0030.00 - Montréal,2021S05074620030.00,53600,42400,47200,38400,2065
2021,0031.00 - Montréal,2021S05074620031.00,52400,43600,46000,39200,1555
2021,0032.00 - Montréal,2021S05074620032.00,49200,42800,42400,38000,950
2021,0033.00 - Montréal,2021S05074620033.00,53600,41600,46800,37600,980
2021,0034.00 - Montréal,2021S05074620034.00,56400,45600,49600,40400,1525
2021,0035.00 - Montréal,2021S05074620035.00,56000,49200,49200,43600,1140
2021,0036.00 - Montréal,2021S05074620036.00,58000,44400,50000,39200,1205
2021,0037.00 - Montréal,2021S05074620037.00,45600,38800,40800,35600,2140
2021,0038.00 - Montréal,2021S05074620038.00,55600,42000,49600,39200,960
2021,0039.00 - Montréal,2021S05074620039.00,58000,49200,50000,43200,1310
2021,0040.00 - Montréal,2021S05074620040.00,,0,,0,
2021,0041.00 - Montréal,2021S05074620041.00,55200,45600,48400,40000,1045
2021,0042.00 - Montréal,2021S05074620042.00,58800,44800,50000,40000,745
2021,0043.00 - Montréal,2021S05074620043.00,56000,49200,48400,43200,800
2021,0044.00 - Montréal,2021S05074620044.00,58400,47600,50400,42400,1265
2021,0045.00 - Montréal,2021S05074620045.00,49600,43200,44000,38000,950
2021,0046.00 - Montréal,2021S05074620046.00,56800,50000,49200,44000,1285
2021,0047.00 - Montréal,2021S05074620047.00,57200,50400,49200,45200,390
2021,0048.00 - Montréal,2021S05074620048.00,63200,51600,54400,45600,1290
2021,0049.00 - Montréal,2021S05074620049.00,50800,38800,45200,35200,760
2021,0050.00 - Montréal,2021S05074620050.00,48800,33600,44400,32000,720
2021,0051.00 - Montréal,2021S05074620051.00,53200,44000,46000,39200,1095
2021,0052.00 - Montréal,2021S05074620052.00,48400,36000,44000,33200,1215
2021,0053.00 - Montréal,2021S05074620053.00,48000,46400,42400,40000,910
2021,0054.00 - Montréal,2021S05074620054.00,65000,59200,56000,48400,800
2021,0055.01 - Montréal,2021S05074620055.01,93000,86000,74500,68000,3370
2021,0055.02 - Montréal,2021S05074620055.02,172000,149000,123000,111000,305
2021,0056.00 - Montréal,2021S05074620056.00,51600,42800,45600,39200,1160
2021,0057.00 - Montréal,2021S05074620057.00,45600,37200,40800,34800,1020
2021,0058.00 - Montréal,2021S05074620058.00,46400,33600,42400,30600,685
2021,0059.00 - Montréal,2021S05074620059.00,66000,62800,54800,53200,845
2021,0060.00 - Montréal,2021S05074620060.00,23400,21400,23400,21400,525
2021,0061.00 - Montréal,2021S05074620061.00,66000,58400,55200,50400,675
2021,0062.00 - Montréal,2021S05074620062.00,55600,57200,47600,49600,2965
2021,0063.00 - Montréal,2021S05074620063.00,30600,20400,28600,20200,3510
2021,0064.00 - Montréal,2021S05074620064.00,36400,25000,34000,24000,1130
2021,0065.01 - Montréal,2021S05074620065.01,33600,21400,32000,21200,4045
2021,0065.02 - Montréal,2021S05074620065.02,40800,26400,38000,25400,2145
2021,0066.01 - Montréal,2021S05074620066.01,43600,28400,40800,27600,2055
2021,0066.02 - Montréal,2021S05074620066.02,35600,21800,33600,21600,1945
2021,0067.00 - Montréal,2021S05074620067.00,62400,47600,56400,44000,810
2021,0068.00 - Montréal,2021S05074620068.00,49200,35600,46400,34800,610
2021,0069.01 - Montréal,2021S05074620069.01,77000,77500,64000,62800,2560
