ct_uid,ct_dguid,ct_name,cma_uid,csd_uid,csd_name,mamh_code,blocks,population_2021,dwellings_2021,land_area_km2,has_income_2020
4620001.00,2021S05074620001.00,0001.00,462,2466023,Montréal,66023,26,2684,1463,0.4645,true
4620002.00,2021S05074620002.00,0002.00,462,2466023,Montréal,66023,30,3780,2022,0.3858,true
4620003.00,2021S05074620003.00,0003.00,462,2466023,Montréal,66023,52,6600,3174,0.74,true
4620004.00,2021S05074620004.00,0004.00,462,2466023,Montréal,66023,33,3355,1744,0.4468,true
4620005.00,2021S05074620005.00,0005.00,462,2466023,Montréal,66023,26,3175,1774,0.5652,true
4620006.00,2021S05074620006.00,0006.00,462,2466023,Montréal,66023,23,4611,2162,0.6461,true
4620007.00,2021S05074620007.00,0007.00,462,2466023,Montréal,66023,74,5655,2997,1.09,true
4620008.00,2021S05074620008.00,0008.00,462,2466023,Montréal,66023,32,3104,1605,0.6212,true
4620009.00,2021S05074620009.00,0009.00,462,2466023,Montréal,66023,51,3554,1807,4.2914,true
4620010.00,2021S05074620010.00,0010.00,462,2466023,Montréal,66023,30,1494,781,0.9274,true
4620011.00,2021S05074620011.00,0011.00,462,2466023,Montréal,66023,41,6439,2953,1.2489,true
4620012.01,2021S05074620012.01,0012.01,462,2466023,Montréal,66023,8,2547,1343,0.2377,true
4620012.02,2021S05074620012.02,0012.02,462,2466023,Montréal,66023,13,4163,2182,0.3964,true
4620013.00,2021S05074620013.00,0013.00,462,2466023,Montréal,66023,39,5694,3239,1.084,true
4620014.02,2021S05074620014.02,0014.02,462,2466023,Montréal,66023,5,0,0,0.8719,false
4620014.03,2021S05074620014.03,0014.03,462,2466023,Montréal,66023,16,3363,1861,0.4106,true
4620014.04,2021S05074620014.04,0014.04,462,2466023,Montréal,66023,19,4187,2591,0.4903,true
4620015.00,2021S05074620015.00,0015.00,462,2466023,Montréal,66023,20,4089,2373,0.3728,true
4620016.00,2021S05074620016.00,0016.00,462,2466023,Montréal,66023,18,2470,1317,0.5127,true
4620017.00,2021S05074620017.00,0017.00,462,2466023,Montréal,66023,14,2131,1235,0.2243,true
4620018.00,2021S05074620018.00,0018.00,462,2466023,Montréal,66023,20,2013,1203,0.3673,true
4620019.00,2021S05074620019.00,0019.00,462,2466023,Montréal,66023,28,2398,1454,0.3321,true
4620021.00,2021S05074620021.00,0021.00,462,2466023,Montréal,66023,18,3028,1734,0.4499,true
4620022.00,2021S05074620022.00,0022.00,462,2466023,Montréal,66023,11,1527,914,0.1703,true
4620023.00,2021S05074620023.00,0023.00,462,2466023,Montréal,66023,20,1238,725,0.3607,true
4620024.00,2021S05074620024.00,0024.00,462,2466023,Montréal,66023,18,2544,1474,0.2775,true
4620025.00,2021S05074620025.00,0025.00,462,2466023,Montréal,66023,17,3018,1646,0.2234,true
4620026.00,2021S05074620026.00,0026.00,462,2466023,Montréal,66023,8,2519,1604,0.1749,true
4620027.00,2021S05074620027.00,0027.00,462,2466023,Montréal,66023,7,1629,992,0.0949,true
4620028.00,2021S05074620028.00,0028.00,462,2466023,Montréal,66023,6,2058,1217,0.1572,true
4620029.00,2021S05074620029.00,0029.00,462,2466023,Montréal,66023,16,4027,2224,0.4013,true
4620030.00,2021S05074620030.00,0030.00,462,2466023,Montréal,66023,11,3506,2215,0.3016,true
4620031.00,2021S05074620031.00,0031.00,462,2466023,Montréal,66023,9,2803,1648,0.2573,true
4620032.00,2021S05074620032.00,0032.00,462,2466023,Montréal,66023,7,1497,1043,0.1229,true
4620033.00,2021S05074620033.00,0033.00,462,2466023,Montréal,66023,10,1752,1053,0.1532,true
4620034.00,2021S05074620034.00,0034.00,462,2466023,Montréal,66023,23,2825,1653,0.214,true
4620035.00,2021S05074620035.00,0035.00,462,2466023,Montréal,66023,10,2015,1198,0.1814,true
4620036.00,2021S05074620036.00,0036.00,462,2466023,Montréal,66023,12,2103,1297,0.1856,true
4620037.00,2021S05074620037.00,0037.00,462,2466023,Montréal,66023,17,3452,2271,0.4999,true
4620038.00,2021S05074620038.00,0038.00,462,2466023,Montréal,66023,17,1976,1054,0.2103,true
4620039.00,2021S05074620039.00,0039.00,462,2466023,Montréal,66023,26,2142,1424,0.4738,true
4620040.00,2021S05074620040.00,0040.00,462,2466023,Montréal,66023,52,0,0,2.1695,false
4620041.00,2021S05074620041.00,0041.00,462,2466023,Montréal,66023,29,1814,1128,0.2584,true
4620042.00,2021S05074620042.00,0042.00,462,2466023,Montréal,66023,11,1145,850,0.1026,true
4620043.00,2021S05074620043.00,0043.00,462,2466023,Montréal,66023,14,1385,895,0.3527,true
4620044.00,2021S05074620044.00,0044.00,462,2466023,Montréal,66023,13,2164,1398,0.1364,true
4620045.00,2021S05074620045.00,0045.00,462,2466023,Montréal,66023,13,1493,1080,0.1174,true
4620046.00,2021S05074620046.00,0046.00,462,2466023,Montréal,66023,12,2143,1384,0.1591,true
4620047.00,2021S05074620047.00,0047.00,462,2466023,Montréal,66023,16,728,421,0.1183,true
4620048.00,2021S05074620048.00,0048.00,462,2466023,Montréal,66023,8,2302,1422,0.1403,true
4620049.00,2021S05074620049.00,0049.00,462,2466023,Montréal,66023,6,1399,863,0.1642,true
4620050.00,2021S05074620050.00,0050.00,462,2466023,Montréal,66023,5,1364,787,0.0706,true
4620051.00,2021S05074620051.00,0051.00,462,2466023,Montréal,66023,16,1907,1346,0.214,true
4620052.00,2021S05074620052.00,0052.00,462,2466023,Montréal,66023,13,2208,1410,0.1393,true
4620053.00,2021S05074620053.00,0053.00,462,2466023,Montréal,66023,7,1385,1093,0.1078,true
4620054.00,2021S05074620054.00,0054.00,462,2466023,Montréal,66023,22,1444,935,0.1505,true
4620055.01,2021S05074620055.01,0055.01,462,2466023,Montréal,66023,87,5726,4252,0.7361,true
4620055.02,2021S05074620055.02,0055.02,462,2466023,Montréal,66023,18,559,325,1.2455,true
4620056.00,2021S05074620056.00,0056.00,462,2466023,Montréal,66023,22,1963,1402,0.2883,true
4620057.00,2021S05074620057.00,0057.00,462,2466023,Montréal,66023,16,1963,1285,0.1456,true
4620058.00,2021S05074620058.00,0058.00,462,2466023,Montréal,66023,15,1251,787,0.1514,true
4620059.00,2021S05074620059.00,0059.00,462,2466023,Montréal,66023,19,1428,1024,0.2027,true
4620060.00,2021S05074620060.00,0060.00,462,2466023,Montréal,66023,2,1082,753,0.0914,true
4620061.00,2021S05074620061.00,0061.00,462,2466023,Montréal,66023,17,1325,872,0.217,true
4620062.00,2021S05074620062.00,0062.00,462,2466023,Montréal,66023,78,4679,3943,0.8289,true
4620063.00,2021S05074620063.00,0063.00,462,2466023,Montréal,66023,20,5477,5006,0.3634,true
4620064.00,2021S05074620064.00,0064.00,462,2466023,Montréal,66023,15,1949,1612,0.2401,true
4620065.01,2021S05074620065.01,0065.01,462,2466023,Montréal,66023,20,6388,4929,0.1369,true
4620065.02,2021S05074620065.02,0065.02,462,2466023,Montréal,66023,12,3629,2602,0.1453,true
4620066.01,2021S05074620066.01,0066.01,462,2466023,Montréal,66023,13,3684,2506,0.2288,true
4620066.02,2021S05074620066.02,0066.02,462,2466023,Montréal,66023,17,3178,2356,0.1806,true
4620067.00,2021S05074620067.00,0067.00,462,2466023,Montréal,66023,15,1839,864,0.1466,true
4620068.00,2021S05074620068.00,0068.00,462,2466023,Montréal,66023,13,1901,703,0.1611,true
4620069.01,2021S05074620069.01,0069.01,462,2466023,Montréal,66023,35,4563,3347,0.435,true
